timestamp,price
2024-06-09,1.9198805372777914
2024-06-10,1.9809826049071526
2024-06-11,1.909020730813942
2024-06-12,1.7975220443565447
2024-06-13,1.9201936108001403
2024-06-14,1.7511017251916123
2024-06-15,1.6613667649797474
2024-06-16,1.6804866586851668
2024-06-17,1.688223807567988
2024-06-18,1.5413262388132012
2024-06-19,1.4112177094381386
2024-06-20,1.4661679595873125
2024-06-21,1.520901541400129
2024-06-22,1.5021699195064266
2024-06-23,1.551877716598203
2024-06-24,1.5009476766070098
2024-06-25,1.5181233513911185
2024-06-26,1.610865443958386
2024-06-27,1.5839794127649904
2024-06-28,1.572586330769952
2024-06-29,1.507768825864471
2024-06-30,1.488702057866985
2024-07-01,1.5589494292132782
2024-07-02,1.585263616602004
2024-07-03,1.5582374070429938
2024-07-04,1.4496576194291193
2024-07-05,1.2956660944122722
2024-07-06,1.2745876538841754
2024-07-07,1.3639929142713925
2024-07-08,1.2504136267518193
2024-07-09,1.2741847146892478
2024-07-10,1.3348464027844176
2024-07-11,1.3669059703836617
2024-07-12,1.3392685723214077
2024-07-13,1.394233933360935
2024-07-14,1.418819607963103
2024-07-15,1.4542270687613137
2024-07-16,1.5493704747805175
2024-07-17,1.5212498850174738
2024-07-18,1.4832968717351858
2024-07-19,1.486621121737515
2024-07-20,1.5776209442934772
2024-07-21,1.6349923800207693
2024-07-22,1.6439388309788288
2024-07-23,1.5425014618232773
2024-07-24,1.4520258935404011
2024-07-25,1.4567130375557562
2024-07-26,1.4023679567421308
2024-07-27,1.5064324428841915
2024-07-28,1.5134153171898914
2024-07-29,1.451611199615109
2024-07-30,1.4701262679604579
2024-07-31,1.3960750033257308
2024-08-01,1.3639680769240126
2024-08-02,1.3576258248876096
2024-08-03,1.2427149194799647
2024-08-04,1.2083112511741982
2024-08-05,1.137695041900345
2024-08-06,1.063670938728029
2024-08-07,1.1009353177393482
2024-08-08,1.061157095291397
2024-08-09,1.2153629317090047
2024-08-10,1.176826919721278
2024-08-11,1.1892330778349938
2024-08-12,1.1101983593422464
2024-08-13,1.1866158904618582
2024-08-14,1.2099645024036998
2024-08-15,1.168255443401019
2024-08-16,1.1601549532256856
2024-08-17,1.14131251289442
2024-08-18,1.139310221626802
2024-08-19,1.1294701406930978
2024-08-20,1.1655300430804343
2024-08-21,1.1816218479848501
2024-08-22,1.2394584480681494
2024-08-23,1.3219288346019697
2024-08-24,1.4111639557257556
2024-08-25,1.4161868761948369
2024-08-26,1.3737383338289066
2024-08-27,1.32623266378311
2024-08-28,1.2528883765084118
2024-08-29,1.2449911707308619
2024-08-30,1.2248961182019662
2024-08-31,1.2213400473236706
2024-09-01,1.2010227978663992
2024-09-02,1.1517683402218075
2024-09-03,1.185851840370255
2024-09-04,1.130873965353509
2024-09-05,1.1485117184887608
2024-09-06,1.106828473888407
2024-09-07,1.0923673717655114
2024-09-08,1.1220014699659988
2024-09-09,1.1587300210555298
2024-09-10,1.192597998394027
2024-09-11,1.2087660805309322
2024-09-12,1.1885413282407167
2024-09-13,1.1988451359552348
2024-09-14,1.2929248474227817
2024-09-15,1.2948426946544567
2024-09-16,1.3029005628149577
2024-09-17,1.3118139585699582
2024-09-18,1.2963307080496485
2024-09-19,1.3963039746388477
2024-09-20,1.4016931286493006
2024-09-21,1.413779828726447
2024-09-22,1.440777832259074
2024-09-23,1.3961629675047045
2024-09-24,1.3854536113333138
2024-09-25,1.401359847079819
2024-09-26,1.3847195438071551
2024-09-27,1.5206014303203
2024-09-28,1.5197267801756822
2024-09-29,1.4621661430451707
2024-09-30,1.4741562141135818
2024-10-01,1.4002234601275272
2024-10-02,1.3075961478120854
2024-10-03,1.2288402652652506
2024-10-04,1.22779614375233
2024-10-05,1.2802028217464283
2024-10-06,1.2816998758341875
2024-10-07,1.334682307074337
2024-10-08,1.303322952550463
2024-10-09,1.2850028213350273
2024-10-10,1.2279493111452882
2024-10-11,1.1971065036586357
2024-10-12,1.2861963780555778
2024-10-13,1.2969792193759102
2024-10-14,1.2815550409836292
2024-10-15,1.3505612269266347
2024-10-16,1.3306155016443866
2024-10-17,1.3046621622479486
2024-10-18,1.244484122506766
2024-10-19,1.2987254443102774
2024-10-20,1.2992475989926306
2024-10-21,1.3656215331682247
2024-10-22,1.3244084767726652
2024-10-23,1.2940407180962608
2024-10-24,1.2481185115410047
2024-10-25,1.2584280647078858
2024-10-26,1.1313974605744186
2024-10-27,1.1485534677083686
2024-10-28,1.169293804276113
2024-10-29,1.1881563867864517
2024-10-30,1.219616402254172
2024-10-31,1.1943876029664289
2024-11-01,1.1287350613574452
2024-11-02,1.114126139787629
2024-11-03,1.0969484823271254
2024-11-04,1.0544239555624924
2024-11-05,1.0189184944656635
2024-11-06,1.0899960967501272
2024-11-07,1.214839190374845
2024-11-08,1.2111292578135595
2024-11-09,1.2220523709605555
2024-11-10,1.3009173623232433
2024-11-11,1.389127420727383
2024-11-12,1.5425680942854494
2024-11-13,1.4574150089276507
2024-11-14,1.4040656353897172
2024-11-15,1.2957843206160442
2024-11-16,1.3678279915939326
2024-11-17,1.5319146322824249
2024-11-18,1.4338403281910381
2024-11-19,1.722586462324162
2024-11-20,1.720631717978597
2024-11-21,1.6451095474576969
2024-11-22,1.7144128136120271
2024-11-23,1.7873111346936288
2024-11-24,1.8813645223910418
2024-11-25,1.9664046638462878
2024-11-26,1.8640431468605199
2024-11-27,2.034062329147107
2024-11-28,2.0705630313678585
2024-11-29,2.1275163303523374
2024-11-30,2.4178989432647358
2024-12-01,3.089318582685737
2024-12-02,2.8814368998298723
